road_address,building_name,unit_est
"강원특별자치도 평창군 대관령면 대관령마루길 365-2, 365-11, 365-27, 365-29",평창포레스트(평창FOR REST),8.0
강원특별자치도 평창군 대관령면 대관령마루길 365-23,엠앤에이치캐빈하우스,2.0
강원특별자치도 평창군 대관령면 대관령마루길 365-25,힐링포레,1.0
강원특별자치도 평창군 대관령면 대관령마루길 365-31,휴800,1.0
강원특별자치도 평창군 대관령면 대관령마루길 365-32,엠앤에이치캠핑하우스,2.0
"강원특별자치도 평창군 대관령면 대관령마루길 365-33, 1-2층",대관령아띠랑펜션,1.0
강원특별자치도 평창군 대관령면 대관령마루길 365-34,대관령 양떼마을 펜션,1.0
강원특별자치도 평창군 대관령면 대관령마루길 365-36,좋은마을,4.0
강원특별자치도 평창군 대관령면 대관령마루길 365-38,대관령팝업하우스,1.0
강원특별자치도 평창군 대관령면 대관령마루길 365-39,"별,솔 펜션",1.0
강원특별자치도 평창군 대관령면 대관령마루길 365-4,대관령 하루,1.0
강원특별자치도 평창군 대관령면 대관령마루길 365-41,대관령 와우시티 펜션,1.0
강원특별자치도 평창군 대관령면 대관령마루길 365-43,네발친구,1.0
강원특별자치도 평창군 대관령면 대관령마루길 365-44,가시머리펜션,1.0
강원특별자치도 평창군 대관령면 대관령마루길 365-47,일오하우스,1.0
강원특별자치도 평창군 대관령면 대관령마루길 365-6,하늘바람별,1.0
강원특별자치도 평창군 대관령면 대관령마루길 365-7,h365(에이치365),1.0
강원특별자치도 평창군 대관령면 대관령마루길 365-8,평창쁘띠빌리지,1.0
강원특별자치도 평창군 대관령면 대관령마루길 365-9,클래식지니하우스(Classic gini house),1.0
강원특별자치도 평창군 대관령면 돌뱅이길 47,두남재700,11.0
"강원특별자치도 평창군 대관령면 삼현동1길 14, 나·다(1,2호)동",폴라리스700,20.0
"강원특별자치도 평창군 대관령면 삼현동1길 14, 다동 4호",폴라리스700 101호,1.0
강원특별자치도 평창군 대관령면 솔봉로 278-35,대관령가는길펜션,9.0
